Date,Open,High,Low,Close,Volume
2023-03-07,100.92813043658786,102.58318547842612,100.5073719283893,101.30424044562866,1028960
2023-03-08,99.47048422309481,100.41121131092186,99.47048422309481,99.67404209866262,1958242
2023-03-09,99.55651185213866,100.4106248975596,99.28875985040872,100.1368243541884,1202327
2023-03-10,98.60191200156582,100.87376145619365,98.60191200156582,99.22952598980515,1551548
2023-03-11,100.17021616556916,100.17021616556916,97.58339476874427,99.2814713856013,1094617
2023-03-12,100.48966353787742,101.03319991287175,99.94395269468545,100.01056194777884,1945326
2023-03-13,100.12046247577138,100.58817891648572,98.2215794148093,100.13954485853624,1010738
2023-03-14,100.7337747990262,101.47463451206761,100.56820784613568,101.27894554307954,1647019
2023-03-15,99.55283268626668,101.76850275756927,99.33070594192081,100.0441197227259,1949812
2023-03-16,99.56251968455119,102.39230034194969,99.56251968455119,100.44646136390344,1122857
2023-03-17,99.63048452407936,101.68332058908912,99.39118662249075,99.76165127296312,1799342
2023-03-18,98.51444588776945,100.70396512222361,98.08833512217403,98.89085412378125,1038464
2023-03-19,98.70469143664775,99.8600991244141,96.4534216244114,98.31200445901683,1789836
2023-03-20,97.75595560547441,98.66674223094674,97.75595560547441,98.00045192688945,1061302
2023-03-21,97.41582462423847,98.2188200490952,96.16601420216104,98.0566172691192,1535113
2023-03-22,95.9408248851185,97.70594977116346,95.15249036724258,96.89146742833584,1954514
2023-03-23,96.92679317821653,98.25676219963192,96.88396912147493,97.79229391529003,1117508
2023-03-24,98.61674190201764,98.61674190201764,97.60455459148397,98.2579563550205,1313095
2023-03-25,96.62910635785535,96.82856703231691,96.25622441018515,96.72171266874327,1428675
2023-03-26,98.28312328475631,99.66115359096003,96.98103544958512,98.20996486253887,1107568
2023-03-27,100.89919662465013,100.89919662465013,100.03970485561844,100.10585403856945,1945228
2023-03-28,102.2653115045225,102.82579510673465,101.25342148083544,101.2846336097291,1334117
2023-03-29,100.5385027427137,101.39860206471751,100.24711732892028,101.10470877391676,1274548
2023-03-30,100.3601125586064,100.3601125586064,99.89780800445676,100.0339561524062,1828909
2023-03-31,100.61505263281165,101.26761394781457,100.58452590284517,101.08840787933735,1468528
2023-04-01,99.72653293129562,102.02932654707199,99.72653293129562,100.68523093236416,1825453
2023-04-02,102.42443331041888,102.42443331041888,101.4012936153009,101.9076760027466,1796626
2023-04-03,101.75598528246839,102.95702991418365,101.75598528246839,102.11595098082346,1862387
2023-04-04,102.85951780565097,104.20732759995501,102.85951780565097,103.09259001730717,1436785
2023-04-05,103.62559064158879,105.17005876213916,103.21798782020407,103.44895641448157,1896071
2023-04-06,104.81762649314591,105.60961810809619,102.91856906364802,104.15552958267352,1769882
2023-04-07,104.42399329057663,104.70668541387177,102.21751717775824,104.16602960339434,1437681
2023-04-08,106.69720140819496,106.69720140819496,103.97121009417837,105.95190009730017,1479214
2023-04-09,105.62589625963506,106.18956083084619,105.26070399925767,106.07881219000379,1103709
2023-04-10,107.07689522127362,107.08399882241036,106.15489270135528,106.48080155344849,1643587
